,index,Job Title,Company Name,Job Location,Salary,Job Type,Job URL
0,0,AngularJS Developer,Innspark Solutions Pvt. Ltd.,"Kollam, Kerala","From ₹35,000 a month",Permanent,https://in.indeed.com/rc/clk?jk=bd944d21fa3331d2&bb=hcnfPrpF3sPjtfnkiyfhktYQ7h5N8N7c2kSMx6sItBA_HjtVpafA7v2UlhEOwDww&xkcb=SoDG67M3GSiCmmQNA50JbzkdCdPP&fccid=094f116ea0212604&cmp=Innspark-Solutions-Pvt.-Ltd.&ti=Developer&vjs=3
1,10,AngularJS Developer,Innspark Solutions Pvt. Ltd.,"Kollam, Kerala","From ₹35,000 a month",,https://in.indeed.com/rc/clk?jk=bd944d21fa3331d2&bb=Sn3xalhIs6_EENQiEaoQgDqJo8YdYt6uNe9mMUerWb1uEQILnVdkQwMRIPNw_ohL&xkcb=SoCf67M3GSiCc-xucR0JbzkdCdPP&fccid=094f116ea0212604&cmp=Innspark-Solutions-Pvt.-Ltd.&ti=Developer&vjs=3
2,20,AngularJS Developer,Innspark Solutions Pvt. Ltd.,"Kollam, Kerala","From ₹35,000 a month",Permanent,https://in.indeed.com/rc/clk?jk=bd944d21fa3331d2&bb=z4kBQZe4afzMlquW3dQ1rUmYRXqIWf74xZbmNzC_ALaQwAZczs3g_3xE1TzayC3O&xkcb=SoD067M3GSiCP2RZXp0LbzkdCdPP&fccid=094f116ea0212604&cmp=Innspark-Solutions-Pvt.-Ltd.&ti=Developer&vjs=3
3,30,AngularJS Developer,Innspark Solutions Pvt. Ltd.,"Kollam, Kerala","From ₹35,000 a month",Permanent,https://in.indeed.com/rc/clk?jk=bd944d21fa3331d2&bb=5BXnLDAHgGT0ztKrUeOmqe4tvThdrChEut3bSBoN1AIcYCL_MLW-MQuS7weig0v7&xkcb=SoBX67M3GSiB9wWMDp0LbzkdCdPP&fccid=094f116ea0212604&cmp=Innspark-Solutions-Pvt.-Ltd.&ti=Developer&vjs=3
4,40,AngularJS Developer,Innspark Solutions Pvt. Ltd.,"Kollam, Kerala","From ₹35,000 a month",Permanent,https://in.indeed.com/rc/clk?jk=bd944d21fa3331d2&bb=j8tk0ybUqMV4qeBSiUQgVJh5eG9Kz4rEwPIAT_bVcuvsqQPOqzxmPG3GDQmTr3D2&xkcb=SoCX67M3GSiBo82MDJ0LbzkdCdPP&fccid=094f116ea0212604&cmp=Innspark-Solutions-Pvt.-Ltd.&ti=Developer&vjs=3
