,index,Job Title,Company Name,Job Location,Salary,Job Type,Job URL
22,17,Data Engineer,Air India,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=0e428701bb0461f4&bb=DRSfey9PzhNBGaSNbI7dDgeGLXPkSRAEv6tQTFgHfajNq4jJwbtKNSeuG6PR46YZ&xkcb=SoDR67M3GSkbxJRZXp0LbzkdCdPP&fccid=5b8a9a7aff3f1856&vjs=3
23,18,Data Engineer,Litmus7,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=7c278aa5688beff2&bb=DRSfey9PzhOyyQYtLQ-hJI8vWxP6UPPhc9PIw5jb9eXzRQEdaDp2PtwZPgZ-5zU-&xkcb=SoD467M3GSkbxJRZXp0JbzkdCdPP&fccid=1d1984970b1ebe81&vjs=3
24,19,IT Manager,LAKSHYA CA CAMPUS,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=f959a580035d4af4&bb=DRSfey9PzhNOVIrpUgsO2k_gz0a6Duf9LiOjfSJXKMoiO4OHv505yr2CccgJ4zgS&xkcb=SoDC67M3GSkbxJRZXp0PbzkdCdPP&fccid=6cc5d7d643f909e2&cmp=Leading-Educational-Institute&ti=IT+Manager&vjs=3
25,20,Research Associate - Molecular Diagnostics,ubio Biotechnology Systems Pvt Ltd,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=a9f31dda694d2bd4&bb=DRSfey9PzhMqh-yucCSeI0Iv_MGWYxR4ymm5PmxgsYfrXxMYxo5u08ItfsJoFVai&xkcb=SoDr67M3GSkbxJRZXp0NbzkdCdPP&fccid=75982566e708a82f&cmp=ubio-Biotechnology-Systems-Pvt-Ltd&ti=Research+Associate&vjs=3
26,21,HR Business Analyst,EY,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=b0841c79b6700d22&bb=-j8tdVGbkwDA1Vy-PIgrtobNXtVw2uBZUxn4bHfPokZfZ4AN_ofY6j1iCvVrkzWv&xkcb=SoAg67M3GSkbxJxZXp0KbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
27,22,AI Engineer,Ombrulla,"Ernakulam, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=5377a0621dc18a68&bb=-j8tdVGbkwDwKKPm74LgfBxChipOqnD-iPUkZBsVz1Tx3RMB-zjXAPHfZRgBeL8t&xkcb=SoAJ67M3GSkbxJxZXp0IbzkdCdPP&fccid=e024a63d80a3329c&cmp=Ombrulla&ti=Engineer&vjs=3
28,23,Product Owner - Data and AI,Cami.AI,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=27ce99e5c2fdd8bc&bb=07DY2gdfDh_g746nHsTgYqKYDOK3jHgFvyFHIIoXD9A73S9Esjcrjd44Avsj4Q9K&xkcb=SoAa67M3GSkbxIRZXp0LbzkdCdPP&fccid=aee7fcfabc7b25fa&vjs=3
29,24,QA Tester,daiviktech,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=d1e974ed78e4985e&bb=07DY2gdfDh8J717KLeRqlw_hCNfPAiJvK4fzlzbauQDo2jLqKxTDuln9kqzxQjdE&xkcb=SoAz67M3GSkbxIRZXp0JbzkdCdPP&fccid=c6baf541d8ba9e8b&vjs=3
30,20,PM/PMO - Senior,EY,"Kochi, Kerala","₹7,00,000 - ₹10,00,000 a year",Not specified,https://in.indeed.com/rc/clk?jk=270e8aa79d58d3a8&bb=vhV8Rcwhc_ThjggJHtIwp-yVpbbhmFX6DANc8d2VMtpnrOJ2hlNcYS29cGdRd2aI&xkcb=SoDo67M3GSkbPV2MDJ0KbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
31,21,Senior Data Engineer,Prevalent AI,"Ernakulam, Kerala","₹12,00,000 - ₹13,00,000 a year",Not specified,https://in.indeed.com/rc/clk?jk=8d49b28f494a9e70&bb=aJByilhDaZmrAqJqcOafOD-RxgNwdMzpZa8bVX_ywC039Qn13PDWAWfri0i7Eae9&xkcb=SoBm67M3GSkbPUWMDJ0KbzkdCdPP&fccid=a17c77ae0e200a04&cmp=Prevalent-AI&ti=Data+Engineer&vjs=3
32,22,Trainee in Data Engineering,Beinex,"Kochi, Kerala","₹15,000 - ₹50,000 a month",Not specified,https://in.indeed.com/rc/clk?jk=42b9e503700264d8&bb=ipYD2-vZ15nzWKyY-fu18JqCE6E_IZpxnXufVtyyTXIJVaDp-Y6V4st8VnEOQwYr&xkcb=SoAj67M3GSkbPU2MDJ0KbzkdCdPP&fccid=fcb19ba739a946d1&vjs=3
33,23,PTYTHON FULLSTACK INTERN,RP2,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=d5f3bf4db384cd88&bb=ipYD2-vZ15muFJOHDXlk4blWuXxLPpM_wZzYkVFs7QB16VMucZ1eWi_bM4VMaE3c&xkcb=SoAK67M3GSkbPU2MDJ0IbzkdCdPP&fccid=4ea33b9cf62ebb89&cmp=RP2&ti=Full+Stack+Developer&vjs=3
34,24,App Supporter,RoadMate,"Ernakulam, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=4e4e3983ee15a6fa&bb=go7JNnIhliplDNCaw5R9VZn-cJ63ZN4PRZIn0fa1is3k2a53K0eeDnmllzfPF0Sp&xkcb=SoDO67M3GSkbPXWMDJ0LbzkdCdPP&fccid=bcf4a24ba918c204&cmp=RoadMate&ti=App+Supporter&vjs=3
35,25,Data Science Manager,Beinex,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=adca94928c6c5857&bb=go7JNnIhliqtnxEKBrohJVYMIKcIepGacoAv8DIZdFF29L3qW3kl01boauAi3xd4&xkcb=SoDn67M3GSkbPXWMDJ0JbzkdCdPP&fccid=fcb19ba739a946d1&vjs=3
36,26,Associate - EDS,EY,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=b86d1fc6868d9d31&bb=ZJCxilgEFMEhUrgG5z5Yj2gxVHDk6Ozwuymg1KLJu3DL85rdXWxD6vi869rMnEgW&xkcb=SoCL67M3GSkbPX2MDJ0LbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
37,27,Gen AI and Cloud Architect,EY,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=184f51cf15ea51bf&bb=ZJCxilgEFMHvWCat5oBBgWuUj0kTalvoC8WFslh7-0kUIYXR2i-Vi8FGXyxZVyqB&xkcb=SoCi67M3GSkbPX2MDJ0JbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
38,28,Software Engineer - Kochi,BerryWorks,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=90b495d69e3dbee2&bb=ZJCxilgEFMF76Pt5czMWVaP5ylMCVBSKbeH_DA3poJQUXGUERNsv5rfLg5RMj5cE&xkcb=SoCY67M3GSkbPX2MDJ0PbzkdCdPP&fccid=63c4bf7a8a0acb73&vjs=3
39,29,Software Development Engineer II,YTPS HR Services,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=10950338091463cb&bb=e2acUAYWxHwV8DZA0TltQxeKsUSgno8Fk9brvlRjo_MfBW-0fZGMw0qz7c0t0Etu&xkcb=SoCx67M3GSkbPWWMDJ0KbzkdCdPP&fccid=bcac9bb4fe00c8d5&cmp=YTPS-HR-Services&ti=Senior+Software+Engineer&vjs=3
40,30,QA Tester,daiviktech,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=d1e974ed78e4985e&bb=e2acUAYWxHx-UazsdJT74ytob_Ri6BotpBeBd4WFUYYqtyRy5WCsnj_Y2VoSxgI2&xkcb=SoCY67M3GSkbPWWMDJ0IbzkdCdPP&fccid=c6baf541d8ba9e8b&vjs=3
41,31,Data Engineer,Prevalent AI,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=fc6b44427bbf4f5b&bb=OTFVDToMzrBCtS92VZXPk1tf1yY2zOB7o85GOBdCIUg1PFgBr7yBgrtQBI_KV1KQ&xkcb=SoBT67M3GSkbPW2MDJ0PbzkdCdPP&fccid=a17c77ae0e200a04&vjs=3
42,32,Jr. Software Engineer,Bytestrone,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=a50ca03f3e44933a&bb=OTFVDToMzrADcuUgtHX5vpmMitl5QsvAtplrY94vTghHVlXzPPu7m01czR7inZq5&xkcb=SoB667M3GSkbPW2MDJ0NbzkdCdPP&fccid=57c69e40a0b6f957&vjs=3
43,33,Visual Engineers - Power BI De...,Air India,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=d3a3053f25c2f0bd&bb=aIDOZ4vAPL6bG3ZTHwdCQvxF-UBEUcM4eo_irzu2tY798wgkGd0-upD6zjlUTEWi&xkcb=SoAn67M3GSkbPW2MDJ0DbzkdCdPP&fccid=5b8a9a7aff3f1856&vjs=3
44,34,Linux Server Administrator,Direct7 Networks,"Ernakulam, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=2d18ca42211183d9&bb=aIDOZ4vAPL6budYILx0eEtCCS1jCIm-9dS459M_bdVG2EHyPn-HQFd2qMmsTLePO&xkcb=SoBC67M3GSkbPRWMDJ0KbzkdCdPP&fccid=c5b80923fa6d233e&cmp=Direct7-Networks&ti=Systems+Administrator&vjs=3
45,30,Junior .Net Developer,EGC Global Services,"Kochi, Kerala","Up to ₹8,00,000 a year",Not specified,https://in.indeed.com/rc/clk?jk=974f781941e56c98&bb=RRffp9PLpXujwiTps0jzLocJTOWME1FblHuQcd6y5YWBxkBrASTUwTb-j5wgkmC9&xkcb=SoAF67M3GSkatJgxXz0JbzkdCdPP&fccid=3a420b27675cd489&cmp=EGC-Global-Services&ti=.NET+Developer&vjs=3
46,31,Sr. Software Engineer,Eloit Innovations Pvt. Ltd.,"Ernakulam, Kerala","₹4,00,000 - ₹12,00,000 a year",Not specified,https://in.indeed.com/rc/clk?jk=636c877e702262a7&bb=qdG3MSdWRA3slSLhdO51tud8ND2OKKU2tlY5B5ZCvYVKz2SpqZsnaVjtygHW4CT7&xkcb=SoAW67M3GSkatIAxXz0KbzkdCdPP&fccid=a8c782bb6887344f&cmp=Eloit-innovations-Pvt.-Ltd.&ti=Senior+Software+Engineer&vjs=3
47,32,Full Stack Engineer - Machine Learning - Kochi,BerryWorks,"Kochi, Kerala","₹15,000 - ₹20,000 a month",Not specified,https://in.indeed.com/rc/clk?jk=ad7caa51e0a8fbd6&bb=HPHX2e1gcweZKf2g6XJzZNrez5sxCfib8Yo63_C1yhBvUJ_ivo6ksXR_JiaDznWy&xkcb=SoA_67M3GSkatIAxXz0IbzkdCdPP&fccid=63c4bf7a8a0acb73&vjs=3
48,33,Associate Software Engineer,Skizzle,"Kochi, Kerala","₹25,384.57 - ₹40,000.00 a month",Not specified,https://in.indeed.com/rc/clk?jk=dd896b6539074fc7&bb=HPHX2e1gcwf49NJbZe-0XbZwaX7V0cM5HrKJyn1vnX7aU-v9A3mfYbYOFaGicKvQ&xkcb=SoDO67M3GSkatIgxXz0JbzkdCdPP&fccid=913249c2bc5531a4&vjs=3
49,34,Database Architect,Tuna Software Solutions,"Edapalli, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=5c4905372b13b8d4&bb=HPHX2e1gcwfzyhtOjSuj4yLvpZsTm75A02EpF643r9Njg91iqQS1dIC2BX-wGazx&xkcb=SoD067M3GSkatIgxXz0PbzkdCdPP&fccid=c59fc048424d868a&vjs=3
50,35,Senior Data Architect,Beinex,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=e866956359ba04c5&bb=HPHX2e1gcwc1qh7c0oYh6dLeqvVzdAQUJUmFhgMFb-aqu4Acn6WPBn3wXCtKpGOx&xkcb=SoBp67M3GSkatIgxXz0MbzkdCdPP&fccid=fcb19ba739a946d1&vjs=3
51,36,Backend Developer,RoadMate,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=b44ec4972c09adbc&bb=pOnHRZTF4XvpmjG29XK63A5dxe7T8n2kNW8ZkOzn0lmqcRthTP_hGzmM_6qBRe9o&xkcb=SoAK67M3GSkatLAxXz0KbzkdCdPP&fccid=bcf4a24ba918c204&cmp=RoadMate&ti=Back+End+Developer&vjs=3
52,37,Data Analytics Engineer,InApp,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=2cd162c0561b5f9b&bb=pOnHRZTF4XtjA-sEZZ4Kv6SVFM9Earfc06EU63fCjyIYE55bEVvGf-kIYMVdSm7o&xkcb=SoAj67M3GSkatLAxXz0IbzkdCdPP&fccid=26da0f35136469b3&vjs=3
53,38,Power BI Developer,BEACON MAVEN,"Ernakulam, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=597bf3a271d67181&bb=uQJhMhykjUClaCvfD1u1eepZcSyI-eOsFcgNgiTK_x7KyM-jK73sQZ6MEoumOIWB&xkcb=SoD767M3GSkatLgxXz0LbzkdCdPP&fccid=d3cfd55b28daafbb&cmp=Beacon-Maven&ti=Business+Intelligence+Developer&vjs=3
54,39,6 Software Engineer-Job code (SE-126),UVJ Technologies,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=f8688ec70c762200&bb=uQJhMhykjUAvNwSj_rxgVcFo1Ypiosbpm4GTEKFfPr5zg817xnN9gM9K0xNyaLg4&xkcb=SoBm67M3GSkatLgxXz0IbzkdCdPP&fccid=d1c3e6e342c9eef7&vjs=3
55,40,Full Stack Developer,Gilead Digital,"Remote in Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=4bafb9c90c019353&bb=uQJhMhykjUCocRGY-yMBt6vSXRWfeZ3SrU5fT9sOFNsuqi76OBd-3U9-P_sQkhxS&xkcb=SoBc67M3GSkatLgxXz0ObzkdCdPP&fccid=6443f1aed437fe51&cmp=Gilead-Digital&ti=Full+Stack+Developer&vjs=3
56,41,Full Stack Developer,pager feed,"Kochi, Kerala",Not specified,Not specified,https://in.indeed.com/rc/clk?jk=32b7bff255976a22&bb=hjgzKZlbHRxcWDGf7-WlJezcqaaBh2z-ZU7xwHy8R9L4T7qGx10zkFgguxsl63YD&xkcb=SoDB67M3GSkatKAxXz0KbzkdCdPP&fccid=345cc23a46e26c99&cmp=pager-feed&ti=Full+Stack+Developer&vjs=3
